T [C],rho [kg/m3],Cp [J/mol*K],mu [Pa*s],Tc [W/m*K]
25,0.16352,20.786,1.98E-05,0.15531
100,0.13067,20.786,2.32E-05,0.18141
200,0.10306,20.786,2.73E-05,0.21393
300,8.51E-02,20.786,3.12E-05,0.24447
400,7.24E-02,20.786,3.49E-05,0.27348
500,6.31E-02,20.786,3.85E-05,0.30125
600,5.59E-02,20.786,4.19E-05,0.32797
700,5.01E-02,20.786,4.53E-05,0.3538
800,4.54E-02,20.786,4.85E-05,0.37886
900,4.16E-02,20.786,5.17E-05,0.40324
1000,3.83E-02,20.786,5.48E-05,0.42701
1100,3.55E-02,20.786,5.78E-05,0.45024
1200,3.31E-02,20.786,6.08E-05,0.47297
