mol%H2,mol%CH4,mol%C2H6,mol%C2H4,mol%C2H2,mol%C3H8,mol%C3H6,mol%C4H10,mol%C5H12,mol%C,Power density [W/cm3],Residence Time [s]
1.266510668,97.93560648,0.397286975,0.047642216,0.036440579,0.101351385,0.007175689,0.01224771,0.015683699,0.180054596,0.180054596,2
3.50815319,94.27253779,1.065663358,0.106715183,0.082728724,0.292650377,0.018323987,0.041266642,0.047410614,0.564550134,0.564550134,5.654866777
4.490731292,92.6972144,1.333291698,0.125179462,0.097011612,0.371781656,0.022830127,0.053786638,0.060776353,0.747396761,0.747396761,7.270542999
6.238752103,89.92767329,1.775121772,0.150373393,0.116317304,0.505929222,0.030327171,0.075761244,0.083777496,1.095967007,1.095967007,10.1787602
10.17582205,83.78293981,2.629310748,0.18472792,0.14223782,0.77950345,0.0450489,0.123879646,0.13214353,2.004386123,2.004386123,16.96460033
11.85824444,81.17198587,2.942559419,0.19394128,0.149112776,0.885329838,0.050532624,0.143868391,0.151435994,2.452989376,2.452989376,20
16.99530254,73.13230412,3.740460535,0.212882375,0.163244007,1.17160992,0.064744434,0.202773917,0.205549452,4.111128702,4.111128702,30
21.45403962,65.88891289,4.271717206,0.224191567,0.171772033,1.379017902,0.07443497,0.251222836,0.246887715,6.037803262,6.037803262,40
25.20909603,59.36294356,4.622789489,0.232108385,0.177796233,1.526063086,0.080960416,0.289917688,0.27764867,8.22067644,8.22067644,50
28.27196147,53.48333906,4.849113186,0.237648935,0.182029351,1.626937407,0.085232821,0.319803424,0.299766769,10.64416757,10.64416757,60
30.67653857,48.18608016,4.985614976,0.241113612,0.184680414,1.692150866,0.087852805,0.3418902,0.314847439,13.28923096,13.28923096,70
