,621
C2H4+H=>C2H5,1.44E+18
CH+CH4=>C2H4+H,1.01E+18
bolsig:CH4->CHH2H,1.00E+18
C2H5+H=>C2H6,6.57E+17
bolsig:CH4->CH2H2,5.72E+17
CH2+CH3=>C2H4+H,3.37E+17
C2H5+H=>CH3+CH3,3.03E+17
bolsig:C2H6->C2H4H2,2.20E+17
CH3+C2H5=>C3H8,1.82E+17
C4H9H+CH2=>C5H12,1.77E+17
C2H5+C2H5=>C4H9H,1.49E+17
bolsig:C2H4->C2H3H,9.26E+16
CH3+C2H3=>C3H6,5.75E+16
C3H8+CH2=>C4H9H,5.01E+16
C3H6+H=>C3H7,4.86E+16
C3H7+H2=>C3H8+H,4.86E+16
C2H3+H=>C2H2+H2,3.51E+16
CH2+H=>CH+H2,8.71522E+15
bolsig:CH4->CH3H,1.28081E+15
bolsig:CH->CH,1.27554E+15
bolsig:C2H4->C2H2H2,1.42121E+13
bolsig:C3H6->C2H2CH4,8.6943E+12
bolsig:CH4->CH4(V24),2.64644E+12
bolsig:CH4->CH4(V13),2.02687E+12
C3H7+H=>C3H8,9.22423E+11
CH+CH4(V24)=>C2H4+H,63896374192
bolsig:CH4(V24)->CHH2H,63813420800
CH+CH4(V13)=>C2H4+H,48947464474
bolsig:CH4(V13)->CHH2H,48884022228
bolsig:C2H6->C2H6(V24),48096454511
bolsig:C2H6->C2H6(V13),42517013398
bolsig:CH4(V24)->CH2H2,36391439887
bolsig:C3H8->C3H8(V1),28546679464
bolsig:CH4(V13)->CH2H2,27877438171
bolsig:C3H8->C3H8(V2),23003694611
bolsig:C2H6(V24)->C2H4H2,11853645619
bolsig:C2H6(V13)->C2H4H2,10479008159
C3H8(V1)+CH2=>C4H9H,4278767823
bolsig:C2H4->C2H4(V1),3530255287
C3H8(V2)+CH2=>C4H9H,3447832449
C2H4(V1)+H=>C2H5,3213646094
bolsig:C2H2->C2H2(V5),1557843871
bolsig:C3H6->C3H6(V),1255884545
C3H6(V)+H=>C3H7,1017049571
bolsig:C2H4->C2H4(V2),997592976.6
C2H4(V2)+H=>C2H5,908126390.2
bolsig:C2H2->C2H2(V2),477742359.7
bolsig:C2H2->C2H2(V13),313772002.4
bolsig:C2H4(V1)->C2H3H,218608722
CH4+CH4^+=>CH3+CH5^+,150703377
bolsig:CH4(V24)->CH3H,81449448.9
bolsig:CH4(V13)->CH3H,62393912.8
bolsig:C2H4(V2)->C2H3H,61775065.17
C2H4+CH5^+=>CH4+C2H5^+,1007925.882
CH3+CH3=>C2H6,640221.8227
bolsig:C3H6(V)->C2H2CH4,187973.4082
bolsig:CH4(V24)->CH4,170543.0994
bolsig:CH4(V13)->CH4,101682.7279
bolsig:C2H4(V1)->C2H2H2,33566.91325
bolsig:C2H4(V2)->C2H2H2,9485.410236
C2H6+CH5^+=>CH4+H2+C2H5^+,5895.130704
E+C2H5^+=>C2H3+H+H,4018.581256
bolsig:CH4->CH4^+,3376.973842
bolsig:C3H8->C3H6H2,2771.251877
bolsig:C3H8(V1)->C3H8,2672.896119
E+C2H5^+=>C2H2+H2+H,2653.346503
bolsig:C2H6(V24)->C2H6,2626.691321
bolsig:C2H6(V13)->C2H6,2089.313985
bolsig:C3H8(V2)->C3H8,1774.286704
E+C2H5^+=>C2H2+H+H+H,1165.705042
CH3+H=>CH4,63.71492615
bolsig:C2H2(V5)->C2H2,46.57985672
bolsig:C3H6(V)->C3H6,27.29781493
bolsig:C2H6->C2H6^+,15.09347009
bolsig:C2H4(V1)->C2H4,8.40834083
bolsig:C2H2->C2H2^+,5.715884107
bolsig:C2H4->C2H4^+,5.657104998
bolsig:CH3->CH3^+,5.258162941
CH4+CH3^+=>H2+C2H5^+,5.257720343
bolsig:C3H8->C3H8^+,4.712870042
bolsig:C2H2(V2)->C2H2,4.40963393
bolsig:C2H2(V13)->C2H2,1.918319319
bolsig:C3H6->C3H6^+,0.931120659
bolsig:C2H4(V2)->C2H4,0.684364416
H+H=>H2,0.000941748
bolsig:C2H2^+->C2H2,0.000267203
bolsig:C3H8(V1)->C3H6H2,0.000257479
bolsig:C2H4^+->C2H4,0.000230406
bolsig:CH4(V24)->CH4^+,0.000214795
CH4(V24)+CH4^+=>CH3+CH5^+,0.000214794
bolsig:C3H8(V2)->C3H6H2,0.000207477
bolsig:CH4(V13)->CH4^+,0.000164542
CH4(V13)+CH4^+=>CH3+CH5^+,0.000164542
bolsig:C2H6^+->C2H6,0.000134188
C2H6(V24)+CH5^+=>CH4+H2+C2H5^+,0.000123896
C2H6(V13)+CH5^+=>CH4+H2+C2H5^+,0.00010953
bolsig:C3H8^+->C3H8,3.57E-05
bolsig:C3H6^+->C3H6,2.66E-05
C2H4(V1)+CH5^+=>CH4+C2H5^+,9.54E-06
C2H4(V2)+CH5^+=>CH4+C2H5^+,2.70E-06
bolsig:C2H6(V24)->C2H6^+,8.13E-07
bolsig:C2H6(V13)->C2H6^+,7.19E-07
bolsig:C3H8(V1)->C3H8^+,4.38E-07
CH4(V24)+CH3^+=>H2+C2H5^+,3.71E-07
bolsig:C3H8(V2)->C3H8^+,3.53E-07
CH4(V13)+CH3^+=>H2+C2H5^+,2.84E-07
bolsig:C2H2(V5)->C2H2^+,1.70E-07
bolsig:CH4^+->CH4,1.02E-07
bolsig:C2H2(V2)->C2H2^+,5.22E-08
bolsig:C2H2(V13)->C2H2^+,3.43E-08
bolsig:C3H6(V)->C3H6^+,2.01E-08
bolsig:C2H4(V1)->C2H4^+,1.34E-08
bolsig:C2H4(V2)->C2H4^+,3.78E-09
bolsig:CH3^+->CH3,1.14E-13
